,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,Song Name
16161,0.705,0.581,11.0,-11.379,0.0,0.0455,0.607,1.52e-05,0.117,0.967,163.24,184640.0,4.0,2,You Don't Mess Around with Jim
16162,0.661,0.518,6.0,-10.061,0.0,0.0319,0.621,1.78e-05,0.0953,0.776,127.266,170760.0,4.0,2,Walkin' Back to Georgia
16163,0.508,0.483,0.0,-13.71,1.0,0.0586,0.359,0.000357,0.087,0.749,164.596,144733.0,4.0,0,Box #10
16164,0.495,0.63,4.0,-11.331,1.0,0.0502,0.527,0.0,0.223,0.814,169.112,170942.0,4.0,4,Tomorrow's Gonna Be a Brighter Day
16165,0.535,0.233,7.0,-14.728,1.0,0.0382,0.643,3.98e-05,0.186,0.466,122.926,128000.0,4.0,0,Photographs & Memories
16166,0.544,0.265,2.0,-11.952,1.0,0.035,0.848,0.0,0.196,0.7,133.837,146176.0,3.0,1,Time in a Bottle
16167,0.697,0.676,7.0,-10.742,1.0,0.0402,0.706,0.0,0.0824,0.852,148.072,182240.0,4.0,4,"Bad, Bad Leroy Brown"
16168,0.536,0.446,9.0,-14.98,1.0,0.029,0.833,0.0103,0.106,0.707,133.785,154627.0,4.0,0,I'll Have To Say I Love You In A Song
16169,0.687,0.453,7.0,-11.649,1.0,0.0335,0.765,8.49e-06,0.0897,0.83,129.987,230213.0,4.0,0,Operator (That's Not the Way It Feels)
16170,0.553,0.652,4.0,-11.625,1.0,0.0403,0.81,1.71e-05,0.115,0.66,86.988,194493.0,4.0,0,I Got a Name - Stereo Version
16171,0.705,0.581,11.0,-11.379,0.0,0.0455,0.607,1.52e-05,0.117,0.967,163.24,184640.0,4.0,2,You Don't Mess Around with Jim
16172,0.661,0.518,6.0,-10.061,0.0,0.0319,0.621,1.78e-05,0.0953,0.776,127.266,170760.0,4.0,2,Walkin' Back to Georgia
16173,0.508,0.483,0.0,-13.71,1.0,0.0586,0.359,0.000357,0.087,0.749,164.596,144733.0,4.0,0,Box #10
16174,0.495,0.63,4.0,-11.331,1.0,0.0502,0.527,0.0,0.223,0.814,169.112,170942.0,4.0,4,Tomorrow's Gonna Be a Brighter Day
16175,0.535,0.233,7.0,-14.728,1.0,0.0382,0.643,3.98e-05,0.186,0.466,122.926,128000.0,4.0,0,Photographs & Memories
16176,0.544,0.265,2.0,-11.952,1.0,0.035,0.848,0.0,0.196,0.7,133.837,146176.0,3.0,1,Time in a Bottle
16177,0.697,0.676,7.0,-10.742,1.0,0.0402,0.706,0.0,0.0824,0.852,148.072,182240.0,4.0,4,"Bad, Bad Leroy Brown"
16178,0.536,0.446,9.0,-14.98,1.0,0.029,0.833,0.0103,0.106,0.707,133.785,154627.0,4.0,0,I'll Have To Say I Love You In A Song
16179,0.687,0.453,7.0,-11.649,1.0,0.0335,0.765,8.49e-06,0.0897,0.83,129.987,230213.0,4.0,0,Operator (That's Not the Way It Feels)
16180,0.553,0.652,4.0,-11.625,1.0,0.0403,0.81,1.71e-05,0.115,0.66,86.988,194493.0,4.0,0,I Got a Name - Stereo Version
16181,0.705,0.581,11.0,-11.379,0.0,0.0455,0.607,1.52e-05,0.117,0.967,163.24,184640.0,4.0,2,You Don't Mess Around with Jim
